model,temperature,top_p,textual_similarity,semantic_similarity,contradiction_rate,logical_consistency,diachronic_textual_similarity,diachronic_semantic_similarity
hermes,0.7,0.95,0.06432857142857143,0.5645714285714286,0.19152857142857144,0.8084714285714286,0.06227619047619048,0.5509666666666666
mistral,0.7,0.95,0.1537952380952381,0.7021,0.21375714285714287,0.7862428571428571,0.14718095238095238,0.7072571428571428
openchat,0.7,0.95,0.09283333333333334,0.5315380952380953,0.3142809523809524,0.6857190476190477,0.09410952380952381,0.5427190476190477
stablelm,0.7,0.95,0.12956190476190477,0.7200047619047619,0.0909952380952381,0.909004761904762,0.12377142857142857,0.7068761904761904
tinyllama,0.7,0.95,0.09935714285714285,0.45143809523809525,0.31852380952380954,0.6814761904761905,0.10357142857142856,0.4377761904761905
