model,temperature,top_p,textual_similarity,semantic_similarity,contradiction_rate,logical_consistency,diachronic_textual_similarity,diachronic_semantic_similarity
hermes,0.2,0.95,0.17575714285714286,0.7063428571428572,0.15343809523809523,0.8465619047619047,0.19162857142857145,0.7302428571428572
mistral,0.2,0.95,0.3662666666666667,0.8168666666666666,0.13228095238095236,0.8677190476190477,0.3430285714285714,0.8178142857142857
openchat,0.2,0.95,0.27962857142857145,0.7161,0.2931238095238095,0.7068761904761904,0.30652380952380953,0.7179952380952381
stablelm,0.2,0.95,0.3308380952380952,0.8480571428571428,0.1618952380952381,0.8381047619047619,0.3331857142857143,0.8600333333333333
tinyllama,0.2,0.95,0.26007142857142856,0.6503,0.19153333333333333,0.8084666666666666,0.25861428571428574,0.638752380952381
