model,temperature,top_p,textual_similarity,semantic_similarity,contradiction_rate,logical_consistency,diachronic_textual_similarity,diachronic_semantic_similarity
hermes,1.0,0.95,0.05631428571428572,0.522595238095238,0.20105238095238095,0.798947619047619,0.06148095238095238,0.5319761904761905
mistral,1.0,0.95,0.14604285714285714,0.698147619047619,0.22749999999999998,0.7725,0.1606142857142857,0.7221571428571428
openchat,1.0,0.95,0.0748,0.5342,0.284652380952381,0.715347619047619,0.07655238095238096,0.5322666666666667
stablelm,1.0,0.95,0.107,0.6850095238095237,0.08041904761904763,0.9195809523809524,0.11354285714285714,0.6981666666666667
tinyllama,1.0,0.95,0.08644761904761904,0.41531428571428575,0.34286190476190476,0.6571380952380952,0.08715714285714286,0.4305428571428571
